Paper ID,Cluster Label,t-SNE Dim 1,t-SNE Dim 2,t-SNE Dim 3
00041e1d3c5d5d99bf1f889c91788f7bf9d72ab1,59,-22.068722,10.584784,3.9362795
0008eecdfe375554a886387e354fe494fff4d191,18,-22.127571,-2.052511,15.459982
00111aa397aff132da8dcb2e4e9276d68d1cd4a6,0,15.693749,5.006778,-20.350227
0019c12590b70f772d64127cc3b796499e752739,31,24.447952,-11.816285,8.092469
0027e40f69893f3368f37ba91649d0db47a3dba0,-1,2.7907069,2.29849,-11.340412
002de4721a821ce86a2aaa832cf4da37d5b26636,-1,-8.554072,4.0464535,6.0459566
0042140a9b39fa05c1a5009565de4132e3602282,-1,-25.259872,3.171251,6.5290675
0061353e6b152f58cf258fddce939dcb968b0239,53,-11.950082,-1.1475554,22.071209
006b2e39f21524afe80df63e19749b7ad3b802f9,59,-18.072365,5.2062397,-0.96283746
007164f268c5bdab1b6dab233a6713eaee197c4e,14,28.66993,-13.236636,0.8194029
007af93d92d52773246cea72ecfc787d3141f42a,13,31.555437,6.163763,3.159398
008a3329e2ad4bf77af5bf89e8556aef6bf22af3,31,21.518593,-16.264256,3.42749
00959e78e08de59d93914146da348df8ae208f35,8,28.334595,-1.5965085,-14.2697935
00a4bc1e250606d65819005e5c7da0ec2ed8f587,52,-13.896084,19.968258,-7.533098
00b546d0e73edd93c9ea47aa29abb73a107acf73,-1,2.172319,-15.799567,-3.1182106
00b55c987fa9f5ad6aafedc9f8dc8e2bb896548f,49,1.8548365,28.655605,-3.5528877
00c0eea0f41f6e9dcb7949dbb91dc11302d0709b,-1,-5.512308,13.1212225,7.0292716
00c7e751a417d3639183bac77fad60fe9a3e1c00,-1,11.859992,-23.463217,-8.4179945
00c91063d3c7b62f1dfe8058187aaec0b0b5970e,-1,7.250948,18.663744,-8.2724285
00d92adfa654c4b59cec6084d0b15951950bb4e7,34,17.299479,-17.531094,-1.8415295
00f64404994b942749f65edbd79fb52087809151,-1,12.961523,-22.028152,-3.9992404
00f7c02d9b6d6c1e08d04533005a70bf1958d127,17,18.702484,7.1897535,-0.23899803
00f806d287fc8e0f9925afa9cb8bd1770e1f84b4,35,18.867647,-20.086931,-0.66830707
00fbb9da1359ef5cf0d2b21dc012e4a65d4f1609,-1,7.82689,-8.869725,-11.983612
010897471a8d95a3930509f5f2ec7325bb6448a4,-1,-5.449399,-10.595763,23.483793
0110849107cd26fdd23dc5a706a833a11238250c,13,32.64398,10.256153,1.8102353
011c1c92f8fefa74b54d3bdd6a075c2cf5b11f41,13,29.87209,4.17152,-0.07882101
0128071409a187e8159a2bfc91976c0f29339aef,36,16.438236,1.2246716,-10.95046
012c32bb9d251952e39c06c1c2728d9b28712249,11,-4.9081793,-8.60089,-15.668603
013104b051db2368ac5512f0f986acf31f325837,-1,4.821227,-11.291397,-12.684703
0158233484d1fe1e995cb2af13f4f15816f1d526,0,16.763035,6.360845,-20.803314
015fcbac450fc278ac4482b9aac01c43b33bcd86,-1,9.8529215,21.472963,-4.7005525
01606c7596a9a0bd3aab28333ef0ea523969c92c,-1,-7.356988,3.1184995,22.649223
01624ef057a0ac4fd47c7ab3cd5f001b4997629e,29,6.944576,-7.7990413,-1.1159155
01802b0b422ba18ecc028aca98f365e85429b8c4,42,9.224221,-1.5119877,-16.713634
0183b54375a4ba5af227e1dfa59a75d56a921f25,-1,19.966194,-17.196583,-11.239491
01852e9ee43587e7cd6521f565ef9bcbdd6c070b,-1,-9.57938,6.7408586,13.730529
01854f3dc11688db41e68ef75c65b4df1a041033,-1,-20.361605,-0.34318528,-0.77435136
0190d612d679f89ef6a604e638a4928b7717cef8,36,17.053518,3.7896001,-11.788779
019cdb4174ccefb5c7091249894215664d4a1c43,-1,2.6125417,13.529927,-11.8231945
01ae0d99da8eafd92240ba8ab6d52a55e1a85027,-1,-12.954397,12.816306,1.9859316
01c252e64a31b52fd8054726b7946e66ef217142,69,0.21466507,-5.162446,0.107697584
01c6cd43f5cfc8f367092e52abf531bf444fccd1,39,-11.949402,-7.8767724,19.074905
01cfb2699f116b6a9e107c5eb20b1c5327d554f0,-1,16.74226,10.160531,-10.115218
01e311c6aca300805f824631e93408455607a841,-1,-4.6744337,12.073515,0.3756686
01f2f678c921b0e74b7580b0546484c235389a04,-1,-5.2797117,4.9652314,12.981675
01f9687e2e316993553960ad5b419047d352b534,-1,2.7556865,2.373751,3.6751618
01f9ef78e12794f0e101a3e524051ec5282f3535,13,28.07894,10.025421,-0.37110934
020e7cc52663a447c69446c0d001f693d6888670,-1,5.8335857,30.6871,-5.334483
02173413b44caed5836ff256ff223d5294d7abfc,-1,10.69725,-14.661996,-5.4172144
021de5e2bea53f621931b68449b106a531364c3a,-1,-12.787679,13.109911,3.601365
022f2c8a23db1cdadcc5862b373c22a4b3e880db,29,7.788481,-9.17526,-1.9547555
02318a66c8918caee5b2c2390ec4ddfe91b2324a,42,11.253573,2.093638,-13.608464
02398b5d3b7277f141239c8404e536fb7e5fcb37,12,-15.271073,-13.494679,-2.2635624
0248a4246b72a81c38ad36c9dbe723bcb6fbd4b3,47,2.5258381,13.314721,-0.28275186
026dc2fc706839e30daa6d6ba29bb1547ebcb158,-1,-5.05525,-17.977667,-11.610154
02713377fd27b83668e7cde3f42086e05d773f80,51,-15.441851,16.123533,-6.4797654
027b96fcd4e4d7cc84efa0226ce5f95fb7a23916,-1,-3.3407702,-17.258617,10.788348
0281a525a8369f89d318252c35781755b037a961,20,4.047153,10.084153,-14.090293
0283e1685555eca90572376cd1db398d8016feb8,69,1.1457368,-9.365892,7.2304087
02851aa2d53c980552181ef7faa079b98a187d78,54,-11.952683,6.3849187,15.827128
02892b6e08843e19bb8b508976c1a8e0c4712107,13,25.092459,3.5437126,4.543052
028e5e92cfc86fc36e76162717beef1aca43806a,-1,19.878252,-13.547103,4.517599
029b7f531bad4808a0b25246e460ce4af629ec6b,26,-1.5363411,-25.27362,1.1733345
029c1e94f6d2b1f0f9e804b34ffbf5443c1555c6,8,26.12707,3.4967947,-12.7644
02ae7a2ea99af34eb7fffbba7423082428cc16f4,-1,14.878134,-17.645773,-6.552918
02b176cd0e89e8d953bc0fb9ecd2ade261d34dbf,17,17.053448,9.020881,2.1239097
02b9e1060efde65930f1fea00bde28b7310123cf,8,27.966234,0.8016697,-15.705129
02bad883ed3883dfbbbd08eb6ed48ee745cc3141,-1,14.267696,-0.52917194,-12.6624565
02c6eaa04bb88f07d47ce8e2c73c5d9b95cb92d0,-1,-7.3271694,3.6414077,-24.29035
02e713bc05834fc6bd2c0189c093352b35459602,-1,18.637526,-6.0133657,13.767989
02fe31ccbe4955cf3f331d0a0e67c2565757379e,-1,-13.590639,-2.4433954,10.189229
031a8ae16b29041384993e97cad1c5893becf932,-1,11.719709,-7.3683176,-4.052075
032541658f4d10d30987772b00a172590bd4010b,-1,2.0168355,-8.496236,1.3707137
0329c22402eacb951d02d77170eef7ad02db97b7,15,-9.629349,6.4987984,-20.445427
034112cdce15f013fa40adc2859d4f8c1cad87a4,30,8.49054,-16.987013,-14.533489
0350c785b4b6ea843d803ae690dab15513de55eb,48,9.908969,15.051496,2.7015631
036c011ffea2e739242eb2687a824755a2649644,-1,-5.4793296,7.791943,-2.479011
0376f6a0a5eeab06955627f668a70e1fba2a1826,-1,-11.238653,-8.760933,-0.09221592
038279fc01c76121050a3b7a970b369542f40c92,26,-2.8033059,-24.086508,-0.1715946
039faf036ebac638c1e91341eddcface62b6c033,6,-2.236368,20.275694,8.667812
03b14751f1702f35ac26db797b02d7f53d001a90,63,5.353828,-1.2113912,10.502444
03b2f76d137ba3b220e6b07b7b627ff76b28818f,14,26.171776,-11.704834,-5.5905595
03b6d0f44adf682a67142ba395199016e18991cc,55,-24.26367,5.6817527,-0.6299153
03cc127768a6b5f2ac361eda45ef691070964bf5,-1,-14.807251,-2.0175078,4.7075887
